N;INSTANCE;type;clingoPAR1;waspPAR1;wasp-amoPAR1
7;0006-knapsack-10-22089-251308-type3.asp;type3;1200;1200;93.53
8;0007-knapsack-10-22687-241052-type3.asp;type3;1200;1200;1200
17;0016-knapsack-15-32775-461934-type3.asp;type3;1200;1200;0.109
18;0017-knapsack-15-30604-457341-type3.asp;type3;1200;1200;0.109
27;0026-knapsack-20-43044-160646-type3.asp;type3;0.108;1200;0.109
28;0027-knapsack-20-42367-264485-type3.asp;type3;0.217;1200;0.109
37;0036-knapsack-25-51566-783634-type3.asp;type3;1200;1200;0.109
38;0037-knapsack-25-51409-119545-type3.asp;type3;0.109;254.3;0.109
47;0046-knapsack-30-62889-532667-type3.asp;type3;0.759;1200;0.22
48;0047-knapsack-30-61750-763722-type3.asp;type3;1200;1200;1200
57;0056-knapsack-35-73533-914194-type3.asp;type3;1200;1200;1200
58;0057-knapsack-35-74014-216112-type3.asp;type3;0.217;1200;0.223
67;0066-knapsack-40-83960-770876-type3.asp;type3;4.093;1200;0.221
68;0067-knapsack-40-81570-1073692-type3.asp;type3;1200;1200;1200
77;0076-knapsack-45-96279-388647-type3.asp;type3;0.325;1200;0.221
78;0077-knapsack-45-97227-539218-type3.asp;type3;0.975;1200;0.222
87;0086-knapsack-50-102479-1162659-type3.asp;type3;1200;1200;1200
88;0087-knapsack-50-104471-1073978-type3.asp;type3;39.52;1200;104.5
97;0096-knapsack-55-116028-1429327-type3.asp;type3;1200;1200;1200
98;0097-knapsack-55-113699-739679-type3.asp;type3;2.847;1200;0.221
